Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
1370	-67.30369	-74.00266	6.69897	0.0180358	0.25122	0.210549	0.00628407	0.0667026	0.161595	0.459099	0.128438	0.412463
1380	-73.80031	-72.98389	-0.8164139	0.33458	0.243005	0.365178	0.0576868	0.0600229	0.21588	0.517919	0.106318	0.375763
1390	-71.22715	-74.1237	2.89655	0.0685512	0.0928087	0.361668	0.180496	0.0496423	0.245548	0.607407	0.00340696	0.389186
1400	-75.12555	-75.07401	-0.05154509	0.377337	0.372256	0.137831	0.207722	0.0732222	0.0507896	0.815995	0.178951	0.00505417
1410	-69.47949	-72.56857	3.089083	0.197664	0.151383	0.244622	0.117979	0.140045	0.132624	0.18776	0.248742	0.563498
1420	-66.87009	-74.76901	7.898925	0.0418699	0.160504	0.18893	0.0499607	0.0503651	0.13303	0.0275305	0.376316	0.596154
1430	-68.86516	-75.41711	6.551952	0.092715	0.094184	0.202451	0.0655119	0.0785843	0.191934	0.331889	0.568472	0.0996395
1440	-70.72593	-77.37389	6.647957	0.0989226	0.0496681	0.0976003	0.240073	0.173432	0.0585063	0.509205	0.45143	0.0393655
1450	-68.42183	-79.11281	10.69098	0.0344441	0.044764	0.0779173	0.00408021	0.130339	0.124339	0.533984	0.014707	0.451309
1460	-67.02579	-75.49785	8.472064	0.114209	0.03729	0.105426	0.159411	0.0764689	0.0889981	0.153741	0.0599542	0.786305
1470	-76.16285	-73.81543	-2.347418	0.00665028	0.590262	0.159769	0.264829	0.139408	0.229914	0.207399	0.16553	0.627071
1480	-69.76101	-74.40259	4.64158	0.0261334	0.158244	0.407029	0.00209442	0.161819	0.112909	0.00239673	0.245069	0.752535
1490	-66.96715	-75.38178	8.414632	0.0886309	0.0548852	0.268971	0.0148243	0.0325001	0.126286	0.528099	0.155622	0.316279
1500	-68.45619	-75.99762	7.541428	0.133756	0.053879	0.318211	0.00805221	0.0845819	0.0529117	0.620363	0.102865	0.276773
1510	-65.92576	-75.73763	9.811877	0.0246167	0.0775751	0.180617	0.0261978	0.0601627	0.112449	0.0487184	0.34281	0.608472
1520	-70.42714	-74.41937	3.99223	0.0529798	0.323504	0.208672	0.174862	0.0810137	0.0757519	0.0726859	0.380918	0.546396
1530	-69.61736	-74.66391	5.046555	0.0605771	0.2727	0.245747	0.0819769	0.115057	0.0618887	0.437981	0.556916	0.0051036
1540	-73.55321	-71.00473	-2.548485	0.19759	0.437748	0.368783	0.150784	0.0692208	0.181743	0.683215	0.124449	0.192337
1550	-69.65296	-77.92774	8.274776	0.0531667	0.200179	0.160855	0.0517119	0.0906789	0.0399644	0.490253	0.384612	0.125135
1560	-68.00217	-74.2662	6.264034	0.171071	0.206766	0.0466893	0.0801536	0.136	0.106229	0.46109	0.00465998	0.534251
1570	-70.74475	-74.50057	3.755824	0.232104	0.1138	0.252159	0.191121	0.10391	0.0413671	0.227301	0.0695097	0.703189
1580	-72.02297	-73.13836	1.115396	0.251173	0.141457	0.201851	0.273313	0.194092	0.0700139	0.582586	0.126557	0.290857
1590	-70.67169	-75.72483	5.053144	0.0184718	0.176076	0.155223	0.264398	0.10291	0.120376	0.636687	0.21631	0.147002
1600	-69.5589	-77.03908	7.480177	0.130134	0.0324204	0.331575	0.0150944	0.0484101	0.098338	0.0301734	0.935255	0.0345716
1610	-68.77565	-73.38204	4.606391	0.0904179	0.167441	0.164276	0.165586	0.137275	0.145864	0.23623	0.0816895	0.68208
1620	-66.73586	-74.04163	7.305763	0.19727	0.11899	0.0424518	0.0766894	0.136159	0.0974541	0.18252	0.0857071	0.731773
1630	-66.29812	-74.06635	7.768233	0.196926	0.139078	0.0338382	0.0533995	0.143181	0.0680104	0.189743	0.00223212	0.808025
1640	-67.17143	-73.84042	6.668991	0.108176	0.122047	0.146379	0.113924	0.122652	0.103449	0.221123	0.108486	0.670391
1650	-66.49689	-74.27855	7.781662	0.171216	0.140057	0.0154566	0.0731227	0.15136	0.0822164	0.0891438	0.189706	0.72115
1660	-71.68525	-76.38453	4.699276	0.123902	0.0813882	0.393875	0.0830417	0.131248	0.0504591	0.716391	0.047372	0.236237
1670	-71.15547	-75.8146	4.659133	0.105268	0.267624	0.0117387	0.110572	0.23833	0.133383	0.532439	0.119512	0.34805
1680	-67.72938	-76.44962	8.720233	0.107776	0.042596	0.164374	0.123198	0.0679748	0.0573277	0.0347129	0.412231	0.553056
